name,price,restaurant
Classic Margherita,179,Pizza Hut
Veggie Lovers,199,Pizza Hut
Classic Beef,269,Pizza Hut
Ultimate Hot Chicken,269,Pizza Hut
Classic Chicken Sausage,269,Pizza Hut
Chicken Exotica,329,Pizza Hut
Spicy Beef.,329,Pizza Hut
Spicy Chicken.,379,Pizza Hut
Beef Lovers.,379,Pizza Hut
Veggie Supreme,329,Pizza Hut
Double Cheese,329,Pizza Hut
Spicy Kala Bhuna,379,Pizza Hut
BBQ Chicken,379,Pizza Hut
Smoky Grilled Buzz,379,Pizza Hut
Beef Pepperoni,379,Pizza Hut
Red N Hot.,429,Pizza Hut
Supreme.,429,Pizza Hut
Chicken Supreme.,429,Pizza Hut
Chicken Classic.,429,Pizza Hut
Chicken Delight.,429,Pizza Hut
Bbq Temptation .,429,Pizza Hut
Triple Chicken Feast,479,Pizza Hut
Bbq Blast,479,Pizza Hut
The Works,479,Pizza Hut
Beef Lovers (C.B),1049,Pizza Hut
Spicy Chicken (C.B),1049,Pizza Hut
Chicken Delight (C.B),1149,Pizza Hut
Red N Hot (C.B),1149,Pizza Hut
Bbq Temptation (GS),1479,Pizza Hut
Red n Hot (GS),1479,Pizza Hut
Chicken Classic (GS),1479,Pizza Hut
Chicken Delight (GS),1479,Pizza Hut
Beef Lovers (GS),1369,Pizza Hut
Spicy Chicken (GS),1369,Pizza Hut
Kala Bhuna Deluxe (GS),1479,Pizza Hut
Supreme (GS),1479,Pizza Hut
The Wroks (GS),1479,Pizza Hut
Bbq Temptation (Thin Crust),819,Pizza Hut
Red N Hot (Thin Crust),819,Pizza Hut
Chicken Classic (Thin Crust),819,Pizza Hut
Chicken Arabiatta,369,Pizza Hut
Beef Arabiatta,369,Pizza Hut
Mushroom,419,Pizza Hut
Chicken Mushroom,469,Pizza Hut
Baked-Chicken Arabiatta,489,Pizza Hut
Baked-Chicken Mushroom,599,Pizza Hut
Garlic Bread Sticks,149,Pizza Hut
Garlic Bread,189,Pizza Hut
Baked Potato Wedges,259,Pizza Hut
Spicy Garlic Mushrooms,489,Pizza Hut
Garlic Bread Spicy Supreme,299,Pizza Hut
Garlic Bread Exotica,339,Pizza Hut
Cheesy Garlic Sticks,209,Pizza Hut
Garlic bread with cheese,289,Pizza Hut
PEPSI,35,Pizza Hut
Mountain Dew,32,Pizza Hut
7 UP,35,Pizza Hut
