name,price,restaurant,location
CHOOSE YOUR SAUCE LEVEL,180,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
"BEEFICHICKEN WIth CHEESE BeefiChicken Patty: Cheese, Special Sauce",200,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
BEEFICHICKEN SMOKY BBQ CHEESE BBQ Sauce Cooked Beef _ Chicken Patly: Cheese,225,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
BEEFICHICKEN WITH BACON BeefiChicken Patty; Beef Bacon,230,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
"BEEFICHICKEN WITH SAUSAGE BeefiChicken Patty; 2x Chicken Sausage, Cheese",250,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
BRIOCHE BUN,300,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
ADD SOME TOPPINGS 25 TK Teriyaki Sauce 25 TK Egg 30 TK Pepperoni 70 TK 0 Patty,320,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
Cheese 0 BBQ Sauce Sausage Beef Bacon,25,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
"BEEF/CHICKEN SIGNATURE 2x Beef/Chicken Patty; 2x Cheese, BeefiChicken Pastrami; Poached Egg",380,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
FRENCH FRIES (REGULARILARGE),70,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
BINGE BEEFICHICKEN 2x Giant Beeli Chicken Patly; Smoked Chicken; Chicken Ham; 3x Cheese,680,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
CHICKEN FINGERS (5 PCS/1O PCS),130,chillox,"['Dhanmondi', 'Khilgaon', 'Wari', 'Mohammadpur', 'Aftabnagar', 'great empty', 'Banani', 'Basundhara', 'Mirpur 2', 'Mirpur TFC', 'Uttara']"
